model mSUGRA
parameter tanbeta 3
parameter a0 -400
parameter mu 1
parameter kFactorProcessWeighted true
scan m0m12 10.0 250.0 cu1mu1e2tau 0.0 0.0
scan m0m12 10.0 250.0 cu0mu2e2tau 0.0 0.0
scan m0m12 10 260 LOXSEC 3.9070
scan m0m12 10.0 260.0 cu3mu 0.0073 0.0015
scan m0m12 10.0 260.0 cu2mu1e 0.0085 0.0017
scan m0m12 10.0 260.0 cu2e1mu 0.0038 0.0012
scan m0m12 10.0 260.0 cu3e 0.0026 0.001
scan m0m12 10.0 260.0 cu2mutau 0.0023 0.0009
scan m0m12 10.0 260.0 cu2etau 0.001 0.0006
scan m0m12 10.0 260.0 cuemutau 0.0007 0.0004
scan m0m12 10.0 260.0 cuss2mu1e 0.0006 0.0004
scan m0m12 10.0 260.0 cuss2e1mu 0.0009 0.0004
scan m0m12 10.0 260.0 cuss2mutau 0.0006 0.0004
scan m0m12 10.0 260.0 cuss2etau 0.0 0.0
scan m0m12 10.0 260.0 cussemutau 0.0004 0.0004
scan m0m12 10.0 260.0 cu4mu0e0tau 0.0 0.0
scan m0m12 10.0 260.0 cu3mu1e0tau 0.0004 0.0004
scan m0m12 10.0 260.0 cu2mu2e0tau 0.0011 0.0006
scan m0m12 10.0 260.0 cu1mu3e0tau 0.0 0.0
scan m0m12 10.0 260.0 cu0mu4e0tau 0.0 0.0
scan m0m12 10.0 260.0 cu3mu0e1tau 0.0004 0.0004
scan m0m12 10.0 260.0 cu2mu1e1tau 0.0005 0.0004
scan m0m12 10.0 260.0 cu1mu2e1tau 0.0006 0.0004
scan m0m12 10.0 260.0 cu0mu3e1tau 0.0007 0.0004
scan m0m12 10.0 260.0 cu2mu0e2tau 0.0 0.0
scan m0m12 10.0 260.0 cu1mu1e2tau 0.0 0.0
scan m0m12 10.0 260.0 cu0mu2e2tau 0.0005 0.0004
scan m0m12 10 270 LOXSEC 3.1410
scan m0m12 10.0 270.0 cu3mu 0.0056 0.0011
scan m0m12 10.0 270.0 cu2mu1e 0.0055 0.0011
scan m0m12 10.0 270.0 cu2e1mu 0.0022 0.0008
scan m0m12 10.0 270.0 cu3e 0.002 0.0008
scan m0m12 10.0 270.0 cu2mutau 0.0054 0.001
scan m0m12 10.0 270.0 cu2etau 0.0014 0.0006
scan m0m12 10.0 270.0 cuemutau 0.0012 0.0005
scan m0m12 10.0 270.0 cuss2mu1e 0.0011 0.0004
scan m0m12 10.0 270.0 cuss2e1mu 0.0 0.0
scan m0m12 10.0 270.0 cuss2mutau 0.0004 0.0003
scan m0m12 10.0 270.0 cuss2etau 0.0014 0.0005
scan m0m12 10.0 270.0 cussemutau 0.0019 0.0007
