model GGM
parameter na
parameter na
parameter na
parameter kFactorProcessWeighted true
scan mcmg 300 600 LOXSEC 6.1600
scan mcmg 300.0 1100.0 cu2mu1e1tau 0.0013 0.0005
scan mcmg 300.0 1100.0 cu1mu2e1tau 0.0008 0.0003
scan mcmg 300.0 1100.0 cu0mu3e1tau 0.0009 0.0004
scan mcmg 300.0 1100.0 cu2mu0e2tau 0.0006 0.0004
scan mcmg 300.0 1100.0 cu1mu1e2tau 0.0002 0.0002
scan mcmg 300.0 1100.0 cu0mu2e2tau 0.0003 0.0002
scan mcmg 300 1150 LOXSEC 0.2946
scan mcmg 300.0 1150.0 cu3mu 0.0044 0.0006
scan mcmg 300.0 1150.0 cu2mu1e 0.0057 0.0007
scan mcmg 300.0 1150.0 cu2e1mu 0.0036 0.0005
scan mcmg 300.0 1150.0 cu3e 0.0039 0.0006
scan mcmg 300.0 1150.0 cu2mutau 0.0017 0.0006
scan mcmg 300.0 1150.0 cu2etau 0.0016 0.0006
scan mcmg 300.0 1150.0 cuemutau 0.0005 0.0002
scan mcmg 300.0 1150.0 cuss2mu1e 0.0009 0.0002
scan mcmg 300.0 1150.0 cuss2e1mu 0.0005 0.0001
scan mcmg 300.0 1150.0 cuss2mutau 0.0005 0.0002
scan mcmg 300.0 1150.0 cuss2etau 0.0004 0.0002
scan mcmg 300.0 1150.0 cussemutau 0.0004 0.0002
scan mcmg 300.0 1150.0 cu4mu0e0tau 0.007 0.0011
scan mcmg 300.0 1150.0 cu3mu1e0tau 0.0043 0.0006
scan mcmg 300.0 1150.0 cu2mu2e0tau 0.0079 0.001
scan mcmg 300.0 1150.0 cu1mu3e0tau 0.002 0.0004
scan mcmg 300.0 1150.0 cu0mu4e0tau 0.0024 0.0005
scan mcmg 300.0 1150.0 cu3mu0e1tau 0.001 0.0004
scan mcmg 300.0 1150.0 cu2mu1e1tau 0.001 0.0004
scan mcmg 300.0 1150.0 cu1mu2e1tau 0.001 0.0004
scan mcmg 300.0 1150.0 cu0mu3e1tau 0.0006 0.0003
scan mcmg 300.0 1150.0 cu2mu0e2tau 0.0004 0.0003
scan mcmg 300.0 1150.0 cu1mu1e2tau 0.0001 0.0001
scan mcmg 300.0 1150.0 cu0mu2e2tau 0.0004 0.0003
scan mcmg 300 1200 LOXSEC 0.2788
scan mcmg 300.0 1200.0 cu3mu 0.0046 0.0006
scan mcmg 300.0 1200.0 cu2mu1e 0.0045 0.0006
scan mcmg 300.0 1200.0 cu2e1mu 0.0026 0.0004
scan mcmg 300.0 1200.0 cu3e 0.0028 0.0004
scan mcmg 300.0 1200.0 cu2mutau 0.001 0.0004
scan mcmg 300.0 1200.0 cu2etau 0.0011 0.0004
scan mcmg 300.0 1200.0 cuemutau 0.0007 0.0003
scan mcmg 300.0 1200.0 cuss2mu1e 0.0005 0.0001
scan mcmg 300.0 1200.0 cuss2e1mu 0.0005 0.0001
scan mcmg 300.0 1200.0 cuss2mutau 0.0003 0.0001
scan mcmg 300.0 1200.0 cuss2etau 0.0002 0.0001
scan mcmg 300.0 1200.0 cussemutau 0.0005 0.0002
scan mcmg 300.0 1200.0 cu4mu0e0tau 0.0052 0.0008
scan mcmg 300.0 1200.0 cu3mu1e0tau 0.0035 0.0005
scan mcmg 300.0 1200.0 cu2mu2e0tau 0.0059 0.0008
scan mcmg 300.0 1200.0 cu1mu3e0tau 0.0013 0.0003
scan mcmg 300.0 1200.0 cu0mu4e0tau 0.0014 0.0003
scan mcmg 300.0 1200.0 cu3mu0e1tau 0.0005 0.0002
scan mcmg 300.0 1200.0 cu2mu1e1tau 0.0006 0.0003
scan mcmg 300.0 1200.0 cu1mu2e1tau 0.0007 0.0003
scan mcmg 300.0 1200.0 cu0mu3e1tau 0.0005 0.0002
scan mcmg 300.0 1200.0 cu2mu0e2tau 0.0004 0.0003
scan mcmg 300.0 1200.0 cu1mu1e2tau 0.0002 0.0001
scan mcmg 300.0 1200.0 cu0mu2e2tau 0.0001 0.0001
scan mcmg 300 1250 LOXSEC 0.2692
scan mcmg 300.0 1250.0 cu3mu 0.0029 0.0005
scan mcmg 300.0 1250.0 cu2mu1e 0.0033 0.0005
scan mcmg 300.0 1250.0 cu2e1mu 0.0024 0.0004
scan mcmg 300.0 1250.0 cu3e 0.0024 0.0004
scan mcmg 300.0 1250.0 cu2mutau 0.0012 0.0004
scan mcmg 300.0 1250.0 cu2etau 0.0005 0.0002
scan mcmg 300.0 1250.0 cuemutau 0.0004 0.0002
